latitude,longitude
41.0384647,28.8686729
41.0415938,28.8604096
41.0380518,28.8589795
41.0410387,28.8592041
41.0416769,28.8551441
41.0343482,28.8588782
41.0340314,28.8604218
41.0329222,28.850432
41.0378225,28.8707035
41.0435772,28.8594269
41.0333293,28.8625067
41.0336154,28.8590259
41.0330865,28.8515113
41.0337505,28.8618726
41.042058,28.8602948
41.0340424,28.8617703
41.0366366,28.865818
41.0415788,28.8586472
41.0456005,28.8597717
41.0325004,28.8536994
41.0437248,28.8509355
41.0345049,28.8666035
41.0328816,28.8507051
41.0354108,28.8668042
41.0416822,28.8586643
41.0369108,28.8586791
41.0433123,28.8507605
41.0448457,28.85974
41.0333101,28.8663389
41.0374692,28.8588937
41.045756,28.8562438
41.0338293,28.8614149
41.041366,28.8563703
41.0340433,28.8605482
41.0401385,28.8617437
41.0422767,28.8590927
41.0371732,28.8616789
41.0441922,28.8505709
41.0450767,28.8573485
41.033166,28.8526633
41.0342578,28.8590634
41.0331621,28.8636472
41.0415755,28.8551446
41.0454509,28.8584567
41.034467,28.8664988
41.0362333,28.864536
41.033194,28.8616605
41.034278,28.8634676
41.0430694,28.8592716
41.0334079,28.8567279
41.0332244,28.8522765
41.0358489,28.8648053
41.033112,28.8636149
41.043396,28.8507837
41.0384641,28.8648073
41.0436945,28.8591912
41.044995,28.8597396
41.0324912,28.8491522
41.0398513,28.8594272
41.0432244,28.851315
41.0335074,28.8593442
41.0348896,28.8593197
41.0371533,28.8629043
41.040878,28.8577849
41.0362987,28.8633531
41.0454309,28.8597717
41.0377151,28.8639694
41.0361687,28.8585461
41.0344806,28.8665559
41.0398332,28.8612422
41.0435782,28.8565461
41.0334026,28.8611632
41.0359076,28.8679748
41.0425634,28.8557247
41.0333277,28.8623081
41.0406438,28.8582664
41.0325308,28.8634803
41.0400525,28.8620206
41.0342333,28.8650687
41.0334936,28.8595033
41.0429534,28.8518602
41.0383501,28.8610238
41.0419332,28.8553424
41.0455703,28.8584617
41.0334043,28.8596277
41.0373504,28.8606451
41.0444861,28.8536571
41.0380018,28.8657346
41.034515,28.8667062
41.0411014,28.859241
41.0428796,28.8592244
41.0335429,28.8626648
41.0326018,28.8562785
41.034091,28.8599164
41.036792,28.8694008
41.0411349,28.8564278
41.0333755,28.861698
41.0356403,28.8684501
41.0368021,28.8618101
41.0410805,28.8592225
41.0326776,28.8572227
41.0432335,28.8508999
41.0436012,28.8594269
41.0341274,28.8603154
41.0394382,28.8647082
41.0393392,28.8655974
41.0330333,28.8511121
41.0332639,28.8633832
41.0431402,28.8526232
41.0348785,28.8596693
41.0415529,28.8587671
41.0331204,28.8515975
41.0342101,28.8593635
41.0433474,28.8507605
41.0364787,28.8597387
41.0417791,28.8587157
41.0364868,28.8673055
41.0342397,28.8594365
41.0406438,28.8581898
41.0334906,28.8596231
41.0325008,28.8683805
41.0433211,28.8507605
41.0418051,28.8552291
41.036757,28.8586362
41.0399419,28.8624767
41.0422186,28.8588185
41.0331862,28.852847
41.0334654,28.8624906
41.0369879,28.8670186
41.0446336,28.8567346
41.0323978,28.8634583
41.0418636,28.859221
41.0402122,28.8610596
41.045879,28.8597717
41.0356492,28.8573393
41.0455071,28.8582536
41.0439229,28.8506553
41.0327043,28.8568797
41.0398437,28.8628676
41.0408343,28.8584722
41.0438666,28.8580734
41.0318163,28.8498232
41.023447,28.8572707
41.0212898,28.8578705
41.0317418,28.8469168
41.0319681,28.8667126
41.0310087,28.8562198
41.0300116,28.8498761
41.0269593,28.8517695
41.0321781,28.8493573
41.0281705,28.8529534
41.026569,28.8511488
41.0291996,28.8509543
41.0302407,28.8498485
41.0258839,28.8502981
41.0316363,28.8632078
41.0293679,28.8694683
41.032023,28.849508
41.0292395,28.8571764
41.0297815,28.8502915
41.0320122,28.8468335
41.0224055,28.8578701
41.0322814,28.8494395
41.0311754,28.8495902
41.030086,28.855876
41.0320787,28.8474911
41.0304186,28.8563951
41.0263787,28.8504896
41.0269745,28.8501559
41.0301948,28.8564625
41.0212201,28.8580688
41.0281557,28.8574911
41.0319021,28.8519098
41.029849,28.8549918
41.0322773,28.8478706
41.0295719,28.8655728
41.0218132,28.8578132
41.0261832,28.8504893
41.0219928,28.8582915
41.0318462,28.8513308
41.0300217,28.8668288
41.0318175,28.8536441
41.0312725,28.860292
41.028536,28.8571521
41.0219342,28.8577674
41.0308964,28.8538403
41.0293909,28.8695292
41.0268725,28.8516086
41.0307042,28.8582264
41.0255543,28.8498153
41.03101,28.8496039
41.028118,28.8572472
41.0223317,28.857607
41.0320726,28.856486
41.0288401,28.8501909
41.0301495,28.8697273
41.0304073,28.849807
41.0311972,28.8605293
41.0201067,28.8587079
41.028895,28.8539664
41.0269996,28.8504229
41.0320231,28.8468767
41.0297127,28.8695445
41.0311918,28.8561928
41.0321539,28.8664819
41.0203181,28.858557
41.0308866,28.8562468
41.0319579,28.8475678
41.0222453,28.8576529
41.0317651,28.853664
41.0320549,28.85358
41.0315588,28.8631736
41.0205224,28.858436
41.0300681,28.8556617
41.0219702,28.8595399
41.0321781,28.8494806
41.0294518,28.8588031
41.030266,28.856449
41.0322309,28.8475218
41.0316819,28.8496039
41.0235399,28.8574192
41.0220838,28.8581957
41.0305611,28.8563546
41.0298521,28.8568963
41.0319311,28.8635042
41.0323228,28.8493299
41.030214,28.8670746
41.0294195,28.8498069
41.0289791,28.8540903
41.0321939,28.8467996
41.0284446,28.8571994
41.0295838,28.8647953
41.0201555,28.8586648
41.0224656,28.8600732
41.0289488,28.8571065
41.0300165,28.8634233
41.0261605,28.8503562
41.0276215,28.8525575
41.0262481,28.8507119
41.0209603,28.858195
41.0322885,28.8562738
41.0312064,28.8496862
41.0299264,28.8671928
41.0315046,28.8561825
41.0318266,28.8495628
41.0225137,28.8603535
41.0314221,28.8628476
41.0310927,28.8495902
41.0253288,28.8494704
41.0313748,28.8564998
41.0303334,28.8697425
41.0305531,28.8496414
41.031379,28.8561825
41.0318473,28.8494532
41.0302685,28.8635471
41.0321511,28.8468926
41.0259927,28.8503339
41.0291926,28.858887
41.0302348,28.8631876
41.0320448,28.8470063
41.0319105,28.8484203
41.0217786,28.8578361
41.0298987,28.8551235
41.0309041,28.8628027
41.030086,28.8558046
41.0311604,28.8565991
41.0323094,28.8488331
41.0316665,28.8691493
41.0313579,28.8482185
41.0299484,28.855242
41.0307775,28.8496435
41.0221502,28.8576987
41.0319397,28.8484203
41.0295497,28.8569515
41.0291176,28.8542242
41.0323216,28.8479004
41.0313237,28.8551
41.0307719,28.8538787
41.026595,28.8512177
41.0319106,28.8556529
41.0291632,28.8542761
41.0299886,28.8696816
41.0283835,28.853355
41.0269332,28.8517236
41.0314893,28.8565136
41.0285181,28.8502336
41.0225046,28.8575612
41.0322496,28.8537364
41.0318973,28.8561803
41.030324,28.8498347
41.0283137,28.8572289
41.0313897,28.8502732
41.0300899,28.8634469
41.0317271,28.8616053
41.0211438,28.8581194
41.0308977,28.8565976
41.028146,28.8569492
41.0319145,28.8636364
41.0319236,28.8559831
41.0206991,28.8588075
41.027967,28.8528771
41.0203995,28.8584923
41.0217613,28.8578591
41.0321428,28.8469729
41.0306628,28.8563277
41.02818,28.8577833
41.0210611,28.8581531
41.0309607,28.8626903
41.0224095,28.8575841
41.0254502,28.8496543
41.0304394,28.8567341
41.0322383,28.8535865
41.0288947,28.8592469
41.030551,28.8633229
41.0319268,28.856486
41.0320448,28.8470783
41.0321797,28.8565385
41.0246196,28.8579543
41.0303123,28.8567697
41.028195,28.857244
41.0295112,28.8545967
41.0202043,28.8586432
41.0314561,28.8468968
41.0290523,28.8541723
41.0292291,28.8575216
41.0293347,28.8569941
41.0259706,28.85039
41.0202206,28.8586001
41.0304106,28.8634292
41.0321735,28.8471851
41.0243523,28.8578382
41.0285655,28.8535762
41.0323073,28.8479031
41.031776,28.8667985
41.0315084,28.8692191
41.0293448,28.8597347
41.0312174,28.8627065
41.0300324,28.849738
41.0300416,28.8568174
41.025036,28.857201
