latitude,longitude
41.0711041,28.8107384
41.090249,28.8108842
41.0806279,28.8071961
41.1067104,28.7874294
41.1080931,28.7894741
41.1077926,28.8103201
41.090457,28.8111453
41.1104103,28.7890572
41.098575,28.8051003
41.092184,28.6467548
41.1203597,28.8069468
41.1147064,28.8101711
41.1205337,28.8070969
41.1203856,28.8076345
41.1086351,28.8098431
41.1325388,28.7792215
41.0904149,28.8110601
41.0905114,28.8113221
41.0904846,28.8112276
41.0903403,28.8109614
41.0903748,28.8109962
41.0634556,28.6882311
41.1033868,28.7709978
41.1229773,28.7803135
41.1211923,28.7855417
41.1196244,28.7841395
41.119938,28.784898
41.1205013,28.7854119
41.0762591,28.6562976
41.0784641,28.6674422
41.0751356,28.6573906
41.0948728,28.8103541
41.0914407,28.6494845
41.1185446,28.7989436
41.1014331,28.7881963
41.1014786,28.7881762
41.1015463,28.7881346
41.0983889,28.7911291
41.1111874,28.7962122
41.0666446,28.7911829
41.0647658,28.7857652
41.0711058,28.8091687
41.0708046,28.8091994
41.1056832,28.8034022
41.0939635,28.7728536
41.0658987,28.6953571
41.0709894,28.8141408
41.10837,28.7754712
41.1074194,28.7743635
41.1038131,28.7754734
41.1035488,28.7761193
41.0113437,28.8887821
41.008003,28.8717012
41.0084037,28.8714812
41.0078572,28.8714598
41.0070598,28.8704674
41.0069962,28.8704661
41.0072148,28.8716733
41.0151759,28.8654355
41.0078005,28.8935202
41.0153035,28.8850167
41.0161333,28.8852005
41.0158304,28.8862605
41.0156363,28.8848107
41.0152504,28.8837254
41.0151164,28.8844693
41.0164843,28.8840022
41.0140869,28.8834486
41.0144715,28.8846073
41.0174555,28.8705697
41.0163707,28.8717471
41.0165245,28.8721548
41.0151423,28.8770633
41.0142336,28.8779082
41.0209241,28.8673349
41.0160388,28.8769399
41.0145938,28.8775836
41.0208512,28.8674756
41.0161764,28.8731097
41.0162631,28.8764323
41.0179046,28.8706194
41.0159048,28.8780441
41.0177246,28.8761232
41.0159757,28.876585
41.0161983,28.8773199
41.0162574,28.8774804
41.0166597,28.8794737
41.01566,28.8755925
41.0163663,28.8778697
41.0183278,28.8701057
41.0173402,28.8705764
41.0175547,28.8703886
41.0163448,28.8733752
41.0215331,28.8714588
41.0226966,28.86925
41.0233543,28.8707548
41.0234858,28.8715326
41.0080273,28.881778
41.0087858,28.8746916
41.0089447,28.8865534
41.0043715,28.8917916
41.0211336,28.866623
41.0282994,28.8614451
41.0152843,28.8964654
41.0152175,28.8964872
41.03149,28.8837026
41.0277382,28.8810879
41.026378,28.8785516
41.0318311,28.8854482
41.0284597,28.8808869
41.0334565,28.8829449
41.0338532,28.8854745
41.0274501,28.8786124
41.0279477,28.8797271
41.0173008,28.8796661
41.0049723,28.8847042
41.0159905,28.8711165
41.0159088,28.8708985
41.0155663,28.874619
41.0158321,28.8739881
41.0168058,28.8693152
41.0157856,28.8759469
41.0157516,28.8741588
41.0164143,28.8731685
41.019585,28.865288
41.02591,28.871231
41.021347,28.867796
41.0215791,28.8710448
41.0216155,28.870858
41.0232138,28.8768213
41.0207491,28.8668922
41.0157658,28.8726829
41.0169337,28.8699395
41.01398,28.877822
41.0186329,28.8639113
41.0158144,28.8761418
41.0078266,28.873253
41.0158805,28.876395
41.0156649,28.875089
41.0129022,28.8698436
41.0048303,28.8889552
41.0156362,28.8831833
41.011244,28.8911047
41.0052145,28.8897246
41.0284964,28.8654005
41.025216,28.8614993
41.027118,28.865056
41.023836,28.8671513
41.0071074,28.8702465
41.0076705,28.8716411
41.011012,28.8740281
41.032443,28.883817
41.0259828,28.8720468
41.0111325,28.8890704
41.0123788,28.8682037
41.0098663,28.8695419
41.011254,28.873472
41.0107757,28.8674381
41.0108679,28.8670969
41.0258616,28.871896
41.0241137,28.8720281
41.0216252,28.8728658
41.0197037,28.8745939
41.0117209,28.8698873
41.0108424,28.8703363
41.0259445,28.8716014
41.0256207,28.872829
41.0206066,28.873625
41.0182038,28.876004
41.0204441,28.8781623
41.0202239,28.8781381
41.0210615,28.8794909
41.0273558,28.872553
41.0180147,28.876243
41.0251901,28.8731871
41.0096372,28.8695109
41.027167,28.8816801
41.0214384,28.8705769
41.0214681,28.870415
41.0213785,28.8707632
41.020548,28.8679431
41.020558,28.8668624
41.0206371,28.866467
41.0216599,28.8698643
41.0175019,28.8742201
41.0164168,28.8780213
41.0085155,28.8858357
41.0084323,28.8857662
41.010167,28.8879166
41.0265901,28.8801542
41.0258848,28.8803386
41.0268307,28.8799881
41.0283367,28.878253
41.0265913,28.8882895
41.0265716,28.8882689
41.0230688,28.877008
41.0130028,28.8724361
41.0142408,28.871379
41.0141115,28.8693465
41.0144683,28.8649054
41.0195539,28.88004
41.0141018,28.8724841
41.0141431,28.871438
41.0139361,28.8635999
41.014048,28.8649343
41.0141971,28.8657305
41.0157446,28.8782874
41.0090154,28.8964285
41.0080712,28.8970539
41.0173023,28.8904511
41.014744,28.9004318
41.0148729,28.9004318
41.0136105,28.9002418
41.0154778,28.9019813
41.0158262,28.9014013
41.0222461,28.8653926
41.0142214,28.8704672
41.0047978,28.8923178
41.0049447,28.8920028
41.0103144,28.8889646
41.0079074,28.8920165
41.0216129,28.879564
41.0109747,28.8900477
41.0141476,28.8734001
41.0148329,28.8728337
41.0140439,28.8728663
41.0141003,28.8732307
41.0140554,28.8730631
41.0152042,28.8962252
41.0194212,28.8996575
41.0195021,28.9003741
41.0193033,28.8994829
41.0193096,28.8997438
41.0115441,28.8870567
41.0112129,28.8872478
41.011464,28.8874106
41.0191711,28.9002616
41.0180442,28.8981133
41.0172164,28.897501
41.0175876,28.8971507
41.0175876,28.8972321
41.0156996,28.8962128
41.0148077,28.8961137
41.0156222,28.8962269
41.0158251,28.8966799
41.0159403,28.8967722
41.0156035,28.8965667
41.0154886,28.8964216
41.0154566,28.8964287
41.0151176,28.8964572
41.0151522,28.8961349
41.0158296,28.8968226
41.0159693,28.8967684
41.0160988,28.8962499
41.0152706,28.89605
41.0147737,28.8957045
41.0171844,28.8875733
41.0175063,28.8912217
41.0148393,28.8914186
41.0146983,28.8897841
41.014656,28.8892424
41.0146983,28.8897094
41.0134439,28.8906807
41.0133311,28.8904752
41.0129305,28.8949953
41.0154726,28.882966
41.0153096,28.9004166
41.0214121,28.8798295
41.0214353,28.8799695
41.0148633,28.896334
41.0152562,28.8963494
