latitude,longitude
41.0534134,28.8325188
41.0537373,28.8375868
41.0497165,28.8348474
41.0484646,28.8547015
41.0507196,28.8388076
41.0541749,28.8370756
41.0463383,28.8582374
41.053068,28.8312515
41.0490729,28.836963
41.0510079,28.8344647
41.0523336,28.8305253
41.050583,28.8359405
41.0523342,28.8574604
41.053921,28.8378658
41.0539606,28.8380278
41.0467624,28.8586322
41.0500697,28.8376156
41.0537421,28.8350761
41.0501726,28.8574629
41.0540021,28.8378455
41.0521025,28.8345764
41.0495959,28.8354571
41.0534895,28.8335704
41.0505785,28.8583595
41.0530799,28.8380961
41.0542229,28.8379162
41.0464842,28.8584821
41.0506805,28.8360553
41.0483046,28.8542341
41.050829,28.8387524
41.054192,28.8374779
41.0533708,28.8323355
41.0470185,28.8598367
41.0536926,28.8379901
41.0497798,28.8348624
41.0505799,28.8387915
41.0541749,28.8368813
41.0466189,28.8598207
41.0521702,28.8302963
41.0527628,28.8305916
41.0506278,28.8573551
41.0472669,28.8550279
41.0493411,28.8369345
41.0537264,28.837974
41.0506467,28.8386949
41.0535731,28.8342581
41.0491446,28.8568942
41.0541463,28.8377252
41.0514268,28.8408732
41.0515238,28.8352421
41.0461219,28.8387238
41.0464559,28.8462611
41.0515388,28.8303609
41.0493415,28.8423243
41.0529396,28.8385931
41.051228,28.8411288
41.0469843,28.83859
41.0465884,28.8462396
41.0470917,28.8460628
41.0490932,28.8582778
41.0314458,28.844275
41.033312,28.8449585
41.0282692,28.8305933
41.0303699,28.8284864
41.0286884,28.8303743
41.0315169,28.8448165
41.0281553,28.8192443
41.0283701,28.8290265
41.028459,28.8292799
41.0258766,28.8306042
41.030828,28.8378571
41.0262988,28.8305667
41.0261499,28.8292258
41.0312385,28.8391295
41.0297493,28.8297006
41.0265307,28.8305924
41.0304317,28.8289878
41.0343188,28.8433707
41.0263917,28.8291457
41.0309486,28.8284864
41.0257219,28.8305885
41.0292221,28.8302059
41.0337685,28.8337755
41.0266097,28.8258386
41.0258034,28.8291551
41.0337235,28.8434122
41.0266466,28.8305924
41.0272314,28.8442314
41.030947,28.830737
41.0307448,28.8275023
41.0337636,28.8415274
41.0257814,28.8305885
41.0229048,28.8341039
41.0311664,28.8303118
41.0306952,28.8384902
41.0261026,28.8306358
41.0311183,28.8296494
41.0276282,28.8292202
41.0262692,28.8306515
41.0311767,28.8392405
41.025734,28.8291392
41.0304379,28.8286669
41.0303046,28.8279168
41.0250678,28.8255176
41.0240943,28.8287702
41.0311325,28.8317286
41.0230679,28.8346805
41.0311675,28.8293648
41.0303579,28.8290436
41.0343541,28.8395703
41.0256981,28.8305885
41.0305454,28.8396901
41.0258746,28.8290116
41.0267451,28.8307619
41.0293779,28.8286539
41.0237163,28.8432934
41.0343065,28.8391536
41.0234295,28.8286634
41.0229773,28.8343922
41.0293618,28.8298859
41.0235468,28.8434338
41.0279969,28.8293844
41.0294762,28.8298185
41.023907,28.8432232
41.0313925,28.8436394
41.0262023,28.8305667
41.0232171,28.8303562
41.0224677,28.8307727
41.0253928,28.8456414
41.0305875,28.8401742
41.0263756,28.8257744
41.0250473,28.8424742
41.0258409,28.8306042
41.0269952,28.8293289
41.0286197,28.8279145
41.0270052,28.8444412
41.0323737,28.8398796
41.0304124,28.8285766
41.0345256,28.8393935
41.0262216,28.8305667
41.0265635,28.8293289
41.0227095,28.8303402
41.0314813,28.844534
41.0299887,28.8266574
41.0264437,28.8305924
41.0199164,28.8229057
41.0309221,28.830671
41.0253737,28.8440054
41.0290442,28.8301385
41.0308205,28.8270597
41.0314103,28.8438748
41.0287583,28.8303238
41.0315346,28.8449107
41.0270783,28.8307619
41.0286225,28.8433768
41.0258922,28.8291551
41.0225172,28.822245
41.030862,28.8376731
41.0255485,28.8291119
41.0307911,28.8274408
41.0255799,28.8455863
41.0307254,28.8383706
41.0232667,28.8284156
41.0302351,28.8279783
41.026529,28.8257958
41.0291839,28.8300038
41.0286186,28.830408
41.0293237,28.8299196
41.0269831,28.8307619
41.0289426,28.8398828
41.0307081,28.8271938
41.0246517,28.8288113
41.0319585,28.8465594
41.0296791,28.8284236
41.0256267,28.8305885
41.0315879,28.8451462
41.028339,28.8305596
41.0305375,28.8398375
41.0268438,28.8259884
41.0265548,28.8306989
41.0305274,28.8405935
41.0287005,28.8278503
41.0296032,28.8298017
41.0312236,28.8377843
41.0302809,28.8276408
41.0284343,28.8305091
41.031079,28.8268362
41.0335146,28.8433845
41.029517,28.8285311
41.0319674,28.8459734
41.0237115,28.8287168
41.0264834,28.8306831
41.0278286,28.8176847
41.0305796,28.8410116
41.0272092,28.8307777
41.0297007,28.8435904
41.028526,28.8292431
41.0299152,28.8295886
41.0260732,28.8305493
41.0291587,28.8397005
41.0203748,28.8239833
41.0275697,28.829444
41.0297751,28.8281325
41.0310751,28.836213
41.0292348,28.8299701
41.0264727,28.8305924
41.0225927,28.8255712
41.0327627,28.8433291
41.0309028,28.8342334
41.026594,28.8291755
41.0321796,28.836152
41.030489,28.8289151
41.030455,28.8289602
41.0302103,28.8291974
41.0258567,28.8291551
41.0274828,28.8308093
41.022558,28.8221232
41.0201552,28.8239157
41.0309553,28.8310669
41.0336135,28.8380686
41.029584,28.8275663
41.0288917,28.8302227
41.0303973,28.8278094
41.0256103,28.8291255
41.0308309,28.8299891
41.0245673,28.842858
41.0280504,28.819707
41.0272031,28.840896
41.0334419,28.8449456
41.0225765,28.8303402
41.0266762,28.8357582
41.029546,28.8298017
41.0282563,28.8195975
41.0260212,28.8452958
41.030351,28.8278554
41.0249506,28.8288932
41.0301154,28.8293091
41.0264479,28.8291606
41.0333475,28.8343024
41.0318826,28.8457167
41.0285677,28.8304417
41.0228666,28.8339127
41.02734,28.8307935
41.0293748,28.8396354
41.0232117,28.8250546
41.0268751,28.8292202
41.0298992,28.8282393
41.0337445,28.8444611
41.0235504,28.8286901
41.0270819,28.8258892
41.0311119,28.8392642
41.0259308,28.8453857
41.0292729,28.8299533
41.0261136,28.8305493
41.0273876,28.8308093
41.0212966,28.8273735
41.0307924,28.8441811
41.0337653,28.8434122
41.0306252,28.8288248
41.0287837,28.8303069
41.0272204,28.8293289
41.031556,28.8441759
41.0266618,28.8306989
41.0263858,28.8305795
41.0305534,28.8394586
41.0275066,28.8308093
41.02701,28.8292202
41.0272687,28.8307777
41.0218432,28.8241266
41.0343631,28.8337887
41.0239941,28.8253036
41.0300127,28.8436052
41.0277963,28.8287278
41.0244435,28.8457668
41.0314854,28.826181
41.0323787,28.8432874
41.0308639,28.8256469
41.0264829,28.8426345
41.0326875,28.8433605
41.0294604,28.8272087
41.0285248,28.8464788
41.0261694,28.8156501
41.0320068,28.8434466
41.0331383,28.8457873
41.0257008,28.8185974
41.0266727,28.8291904
41.0249406,28.8425752
41.0333477,28.8370313
41.0312665,28.8327408
41.0308878,28.8374731
41.0305817,28.8393655
41.0265047,28.8145388
41.0335357,28.8367978
41.0284375,28.8290116
41.0322376,28.8467555
41.0270431,28.8202398
41.0308906,28.8393197
41.0256813,28.8256674
41.0336504,28.8434261
41.0269762,28.8292202
41.0312024,28.8318676
41.0311664,28.8293713
41.0330029,28.8433568
41.0299662,28.8279537
41.0335345,28.8232633
41.0222517,28.8233685
41.0324134,28.8363164
41.0319162,28.8397256
41.0311122,28.8424866
41.0309645,28.8181127
41.0312884,28.835818
41.0291344,28.828654
41.0337171,28.8448712
41.0321832,28.839185
41.0321268,28.8397463
41.0295238,28.8190544
41.033625,28.8446722
41.03136,28.8266127
41.0340225,28.8337371
41.0308767,28.8306732
41.034477,28.8436833
41.0318439,28.8253246
41.0275721,28.824289
41.0341254,28.8358076
41.0308485,28.8377416
41.0270042,28.8258705
41.0335246,28.8232502
41.0317524,28.8376354
41.0310013,28.8366575
41.0311481,28.8355244
41.0283983,28.8214349
41.0314867,28.8385412
41.031817,28.8454305
41.0316381,28.844688
41.0322342,28.8365673
41.0267053,28.8145881
41.031556,28.8397112
41.0319277,28.8265595
41.027291,28.82925
41.0314541,28.8284307
41.0323261,28.8390797
41.0311664,28.8295111
41.025425,28.8288924
41.0259995,28.8228812
41.0258142,28.8187262
41.0292106,28.8442106
41.0221161,28.8448745
41.0311664,28.8294348
41.0279213,28.8436767
41.0230251,28.8458268
41.0273456,28.8206743
41.0318608,28.8461418
41.0266225,28.8232467
41.0246356,28.8457153
41.0314499,28.8264786
41.0307899,28.8417936
41.0242019,28.8458309
41.0299887,28.827909
41.0311664,28.8294729
41.030759,28.8309999
41.0264693,28.8230843
41.026262,28.8451074
41.0310579,28.8424019
41.030472,28.8274322
41.0291297,28.8467586
41.0318439,28.8260184
41.0248733,28.8457103
41.024761,28.8254962
41.0279879,28.8291606
41.025588,28.8420973
41.0309365,28.8184822
41.0291364,28.8274651
41.0342448,28.8230802
41.0274208,28.8407709
41.0311856,28.829295
41.0292774,28.8437233
41.0311908,28.8319911
41.026048,28.845282
41.0199398,28.8223884
41.0314605,28.8262418
41.0230596,28.8437989
41.0303185,28.8394077
41.0312623,28.8288755
41.0236939,28.8284752
41.0312999,28.8429074
41.0310947,28.8316446
41.0242218,28.8178678
41.0307354,28.8416925
41.0326595,28.8413319
41.0277743,28.8440365
41.0316584,28.8448437
41.0304248,28.8433837
41.0312754,28.8428262
41.033244,28.8361098
41.0312109,28.8323871
41.0314103,28.8439219
41.0323737,28.839185
41.0265491,28.8291755
41.0314014,28.8437335
41.0271293,28.8258987
41.0270247,28.8410194
41.0259209,28.8422076
41.0344684,28.8340676
41.0309983,28.8391555
41.0334217,28.8339459
41.0242985,28.8458148
41.0308359,28.8386454
41.0276844,28.8292202
41.031998,28.8460862
41.0257647,28.822421
41.0333476,28.8433984
41.0298757,28.8394401
41.0306145,28.8464776
41.0315528,28.8442992
41.0312014,28.8291494
41.029473,28.8396093
41.0306218,28.8393318
41.0301299,28.8393851
41.0330447,28.8433568
41.0268024,28.8439306
41.0325484,28.8390797
41.0319802,28.8467034
41.0305475,28.8409243
41.0312028,28.8233989
41.0328463,28.843343
41.0303977,28.8408114
41.0319172,28.8269064
41.0309484,28.8269667
41.0308226,28.8418803
41.031953,28.8399158
41.0266343,28.8149884
41.0311461,28.8300735
41.0228106,28.8455105
41.0313122,28.8429399
41.0335454,28.8448438
41.0322101,28.8397543
41.0284906,28.8281286
41.0341228,28.8439068
41.0314349,28.8284942
41.0278367,28.8271655
